case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
536267239,2018-01-16,223.50,78.08,3,7625
527216196,2018-01-06,2.00,51.41,5,7625
541747493,2018-01-21,6.41,98.78,4,7625
538730662,2018-01-18,38.00,99.84,2,7863
538202035,2018-01-18,19.55,92.34,1,7625
535978561,2018-01-15,1.00,94.17,1,7625
546216679,2018-01-26,1465.44,57.17,,4437
546656851,2018-01-27,31.48,72.59,1,7625
546144591,2018-01-26,125.00,56.64,,8886
546959361,2018-01-27,13.92,70.98,6,7625
552772392,2018-01-28,26.00,70.92,18,7625
533483192,2018-01-13,59.20,89.71,2,7625
528501141,2018-01-08,88.13,74.48,,8886
552777349,2018-01-29,5.55,67.42,2,7625
543870868,2018-01-24,92.95,67.83,1,7625
529339787,2018-01-09,14.60,94.05,1,7625
534518849,2018-01-14,192.13,70.74,2,7625
534587180,2018-01-14,31.20,57.36,1,7625
539349391,2018-01-14,16.22,51.75,6,7625
548751887,2018-01-29,1.00,86.84,1,7625
523649828,2018-01-03,3.27,54.31,1,7625
540056695,2018-01-20,30.00,59.93,27,7625
533525654,2018-01-13,9.00,69.12,1,7625
538519590,2018-01-18,33.00,57.31,1,7625
548411473,2018-01-29,13.00,74.60,1,7625
525642308,2018-01-01,39.00,78.83,8,7625
552785268,2018-01-29,2.00,88.35,18,7625
531884007,2018-01-11,554.00,52.63,,8886
538530088,2018-01-18,360.78,61.23,1,7625
531961075,2018-01-11,12.25,92.91,1,7625
530099880,2018-01-09,52.11,78.26,3,7625
529504864,2018-01-09,742.92,56.72,,8886
546346055,2018-01-26,21.00,74.35,1,7625
535366209,2018-01-15,8.56,98.02,1,7625
528396351,2018-01-08,12.00,54.54,4,7625
531208196,2018-01-11,2.00,94.46,1,7625
522975899,2018-01-02,178.00,73.44,,8886
521601257,2018-01-01,3.76,69.50,622,12650
525864532,2018-01-05,6.97,95.86,37,7625
521598769,2018-01-01,32.00,54.94,4,7625
531770855,2018-01-11,13.00,62.32,3,7625
541281780,2018-01-21,13.30,80.24,2,7625
531968653,2018-01-11,100.70,64.57,1,7625
527297733,2018-01-07,1040.00,59.07,,8886
531734789,2018-01-11,8.00,94.58,4,7625
531411190,2018-01-11,8.00,87.94,1,7625
544265108,2018-01-24,1.00,94.70,1,7625
534487550,2018-01-14,65.70,69.24,2,7625
